Name,Year,BroodYear,SYS,Age,AdultAge,Meas,ReturnLength
AY0013F001,2000,1995,AY,4,5,0.9263,775
AY0013F001,2000,1995,AY,3,5,0.6359,775
AY0013F001,2000,1995,AY,1,5,0.2895,775
AY0013F001,2000,1995,AY,2,5,1.5431,775
AY0013F002,2000,1995,AY,3,5,1.0766,780
AY0013F002,2000,1995,AY,2,5,1.8256,780
AY0013F002,2000,1995,AY,4,5,1.1817,780
AY0013F002,2000,1995,AY,1,5,0.3184,780
AY0013F003,2000,1995,AY,2,5,1.5256,760
AY0013F003,2000,1995,AY,4,5,1.0068,760
AY0013F003,2000,1995,AY,1,5,0.3355,760
AY0013F003,2000,1995,AY,3,5,1.1474,760
AY0013F005,2000,1995,AY,2,5,1.5682,730
AY0013F005,2000,1995,AY,4,5,0.719,730
AY0013F005,2000,1995,AY,1,5,0.4267,730
AY0013F005,2000,1995,AY,3,5,0.915,730
AY0013F006,2000,1995,AY,4,5,1.2667,715
AY0013F006,2000,1995,AY,1,5,0.4072,715
AY0013F006,2000,1995,AY,3,5,0.7998,715
AY0013F006,2000,1995,AY,2,5,1.4203,715
AY0013F007,2000,1995,AY,4,5,0.6561,720
AY0013F007,2000,1995,AY,2,5,1.4033,720
AY0013F007,2000,1995,AY,3,5,1.0222,720
AY0013F007,2000,1995,AY,1,5,0.3549,720
AY0013F008,2000,1995,AY,4,5,1.1235,750
AY0013F008,2000,1995,AY,3,5,1.0763,750
AY0013F008,2000,1995,AY,2,5,1.5275,750
AY0013F008,2000,1995,AY,1,5,0.4314,750
AY0013F009,2000,1995,AY,2,5,1.7016,750
AY0013F009,2000,1995,AY,4,5,1.2094,750
AY0013F009,2000,1995,AY,3,5,1.0796,750
AY0013F009,2000,1995,AY,1,5,0.3213,750
AY0013F012,2000,1995,AY,3,5,1.0594,725
AY0013F012,2000,1995,AY,1,5,0.4043,725
AY0013F012,2000,1995,AY,4,5,0.7924,725
AY0013F012,2000,1995,AY,2,5,1.6502,725
AY0013F013,2000,1995,AY,3,5,0.6593,675
AY0013F013,2000,1995,AY,2,5,1.5494,675
AY0013F013,2000,1995,AY,4,5,0.9801,675
AY0013F013,2000,1995,AY,1,5,0.3964,675
AY0013F015,2000,1995,AY,2,5,1.4099,790
AY0013F015,2000,1995,AY,4,5,1.2872,790
AY0013F015,2000,1995,AY,1,5,0.4199,790
AY0013F015,2000,1995,AY,3,5,1.1957,790
AY0013F016,2000,1995,AY,2,5,1.5911,760
AY0013F016,2000,1995,AY,4,5,0.7586,760
AY0013F016,2000,1995,AY,1,5,0.3581,760
AY0013F016,2000,1995,AY,3,5,0.9489,760
AY0013F018,2000,1995,AY,4,5,1.1021,770
AY0013F018,2000,1995,AY,3,5,1.0554,770
AY0013F018,2000,1995,AY,1,5,0.4334,770
AY0013F018,2000,1995,AY,2,5,1.5628,770
AY0013F019,2000,1995,AY,3,5,1.2046,780
AY0013F019,2000,1995,AY,2,5,1.4109,780
AY0013F019,2000,1995,AY,1,5,0.3991,780
AY0013F019,2000,1995,AY,4,5,1.5179,780
AY0013F020,2000,1995,AY,2,5,1.6151,760
AY0013F020,2000,1995,AY,3,5,0.9193,760
AY0013F020,2000,1995,AY,4,5,1.4972,760
AY0013F020,2000,1995,AY,1,5,0.3906,760
AY0013F023,2000,1995,AY,4,5,1.1441,655
AY0013F023,2000,1995,AY,3,5,0.7781,655
AY0013F023,2000,1995,AY,2,5,1.4937,655
AY0013F023,2000,1995,AY,1,5,0.3933,655
AY0013F024,2000,1995,AY,1,5,0.4578,740
AY0013F024,2000,1995,AY,3,5,0.8051,740
AY0013F024,2000,1995,AY,2,5,1.6851,740
AY0013F024,2000,1995,AY,4,5,0.9577,740
AY0013F025,2000,1995,AY,3,5,1.0346,755
AY0013F025,2000,1995,AY,2,5,1.5173,755
AY0013F025,2000,1995,AY,1,5,0.3788,755
AY0013F025,2000,1995,AY,4,5,1.4649,755
AY0013F026,2000,1995,AY,3,5,1.1726,710
AY0013F026,2000,1995,AY,2,5,1.4662,710
AY0013F026,2000,1995,AY,4,5,0.6477,710
AY0013F026,2000,1995,AY,1,5,0.3167,710
AY0013F027,2000,1995,AY,1,5,0.4144,755
AY0013F027,2000,1995,AY,2,5,1.7419,755
